Ranges	Energy Min [MeV]	Energy Center [MeV]	Energy Max [MeV]	Flux [ERG*SM^-2*S^-1]	Flux Error	Index	Delta Index	TS
1	100.0	203.35191172	413.52	1.76779043725e-11	2.60289554752e-12	2.57	0.07387	58.3540431973
2	413.52	840.898881911	1709.98	1.63935909259e-11	2.06877518772e-12	2.57	0.07387	142.987802775
3	1709.98	3477.26735794	7071.07	9.76218570027e-12	2.35675808006e-12	2.57	0.07387	69.8492711545
4	7071.07	14379.1293058	29240.18	6.43220938978e-12	3.61545751609e-12	2.57	0.07387	20.916050516
5	29240.18	59460.3587177	120913.56	1.79772329817e-11	0.0	2.57	0.07387	-3.18005533018e-06
6	120913.56	245879.604685	500000.0	7.48234878998e-11	0.0	2.57	0.07387	-3.40004579158e-07
