Cover_Value	Emax	Emin	Flux	Flux_error	Index	Index_error	Npred	Pref	Pref_error	Scale	Tmax	Tmax_MJD	Tmin	Tmin_MJD	Ts
0	300000.0	100.0	1.11350555947e-07	4.56860584187e-08	-2.55729526198	-0.334356144714	39.159056106	7.05578371481e-14	6.79000651026e-14	5207.585938	432818787.0	56919.477	432380553.0	56914.405	15.1021415231
156	300000.0	100.0	1.04185994012e-07	4.22433890411e-08	-2.96657991608	-0.479738474068	35.554501347	1.65221938772e-14	2.53178181099e-14	5207.585938	433257021.0	56924.549	432818787.0	56919.477	10.9955266416
0	300000.0	100.0	1.0989852714e-07	3.63305930781e-08	-2.2153167766	-0.23523409515	51.1370234342	2.1011848358e-13	1.23023230374e-13	5207.585938	433695255.0	56929.621	433257021.0	56924.549	36.8175643328
156	300000.0	100.0	2.45612916692e-09	2.40044432978e-09	-0.874206914482	-0.51644516892	2.26540025443	5.61325975806e-14	6.89010376336e-14	5207.585938	434133489.0	56934.693	433695255.0	56929.621	5.045965422
156	300000.0	100.0	5.42898506281e-08	3.81612502463e-08	-4.28904577546	-3.20909069853	20.8490897115	7.70027392431e-17	9.01969395385e-16	5207.585938	434571723.0	56939.765	434133489.0	56934.693	2.56540424427
0	300000.0	100.0	1.50274783511e-09	0.0	-1.9369389429	-1.45306767896	0.664324112641	6.66207643148e-15	4.5685263578e-14	5207.585938	435009957.0	56944.837	434571723.0	56939.765	0.0249805644489
0	300000.0	100.0	1.16461323332e-08	0.0	-2.19781515511	-1.07885519718	3.45619571781	2.35186402069e-14	7.13091476212e-14	5207.585938	435448191.0	56949.91	435009957.0	56944.837	0.268112553626
0	300000.0	100.0	2.69465254613e-14	0.0	-0.0639416020919	-1.12776488062	1.69037951655e-05	1.08964984776e-19	1.07685595139e-17	5207.585938	435886425.0	56954.982	435448191.0	56949.91	-3.37062811013e-05
156	300000.0	100.0	2.85840368365e-08	0.0	-3.01857966402	-1.1251506314	8.69517919797	3.78793610232e-15	1.46600773395e-14	5207.585938	436324659.0	56960.054	435886425.0	56954.982	0.605607652011
0	300000.0	100.0	7.38150169925e-08	4.69156705434e-08	-3.10798741912	-0.657074835701	25.7896925486	7.17262699543e-15	1.56576785961e-14	5207.585938	436762893.0	56965.126	436324659.0	56960.054	3.74883318266
