Cover_Value	Emax	Emin	Flux	Flux_error	Index	Index_error	Npred	Pref	Pref_error	Scale	Tmax	Tmax_MJD	Tmin	Tmin_MJD	Ts
0	300000.0	100.0	1.98217532458e-08	3.04381375175e-08	-1.89603214187	-0.851966880054	4.24329843021	9.88122325461e-14	1.6151127375e-13	5207.585938	433607538.0	56928.606	433432245.0	56926.577	2.60059751076
0	300000.0	100.0	5.2755028976e-08	3.21113082555e-08	-1.82713909541	-0.316322178206	12.2712499872	3.18951803201e-13	2.11734089372e-13	5207.585938	433782831.0	56930.635	433607538.0	56928.606	13.4443430599
0	300000.0	100.0	2.46068655497e-09	2.70858305091e-09	-0.435739021744	-0.797350405179	0.946058074659	2.73664026633e-14	6.30580619043e-14	5207.585938	433958124.0	56932.663	433782831.0	56930.635	3.11083928149
156	300000.0	100.0	2.44727649645e-14	0.0	-0.30177778151	-7414.83658061	9.91962193195e-06	1.94240617145e-19	7.00740887561e-16	5207.585938	434133417.0	56934.692	433958124.0	56932.663	-1.94198255485e-05
156	300000.0	100.0	7.6460512531e-08	6.04627279178e-08	-5.60883521622	-2.93863747303	11.3541058754	8.19803738854e-19	9.14476381227e-18	5207.585938	434308710.0	56936.721	434133417.0	56934.692	2.28903597047
0	300000.0	100.0	1.58050017523e-14	0.0	-0.221604975194	-2.08187525214	6.22081663877e-06	1.00859429186e-19	5.28848147097e-18	5207.585938	434484003.0	56938.75	434308710.0	56936.721	-1.23780009744e-05
0	300000.0	100.0	4.465714116e-08	4.21469775989e-08	-2.28852663606	-0.613108999174	8.45451144691	6.7770034571e-14	1.04900873585e-13	5207.585938	434659296.0	56940.779	434484003.0	56938.75	3.18443153307
0	300000.0	100.0	5.69041093781e-14	0.0	-1.49594555799	-84.38864106	1.31538971646e-05	7.77667029043e-19	6.26605508933e-16	5207.585938	434834589.0	56942.808	434659296.0	56940.779	-1.30752014229e-05
0	300000.0	100.0	2.77506623824e-12	0.0	-1.62905645511	-32.7943840145	0.000500235932217	2.80674100013e-17	1.4492080228e-14	5207.585938	435009882.0	56944.837	434834589.0	56942.808	-0.00034324315493
0	300000.0	100.0	5.89275000315e-13	0.0	-1.74380243184	-3.89720718091	8.88523584202e-05	4.45961348769e-18	4.53602190799e-14	5207.585938	435185175.0	56946.865	435009882.0	56944.837	3.89150591218e-05
156	300000.0	100.0	5.06767450249e-08	0.0	-2.84878824019	-1.54598053225	4.98609237142	1.20379995752e-14	6.22776620164e-14	5207.585938	435360468.0	56948.894	435185175.0	56946.865	0.750566966755
156	300000.0	100.0	5.19689984478e-15	0.0	-1.12938932504	-1012.79384595	9.97017131101e-07	1.20020742086e-19	1.2452437739e-16	5207.585938	435535761.0	56950.923	435360468.0	56948.894	-1.48293656821e-06
156	300000.0	100.0	2.82381483982e-14	0.0	-0.417268134447	-1863.62509723	6.90255392794e-06	3.00472930694e-19	1.46012966598e-15	5207.585938	435711054.0	56952.952	435535761.0	56950.923	-1.36095459311e-05
156	300000.0	100.0	3.50043456654e-08	0.0	-3.28014900671	-1.75373172232	3.43943775739	1.86223147828e-15	1.14090231041e-14	5207.585938	435886347.0	56954.981	435711054.0	56952.952	0.278061537269
0	300000.0	100.0	1.46587657899e-13	0.0	-2.08089695158	-704.668369574	2.35048718773e-05	4.24167588972e-19	4.55680388214e-15	5207.585938	436061640.0	56957.01	435886347.0	56954.981	-4.55392000731e-06
156	300000.0	100.0	2.53281977607e-08	0.0	-2.99482143391	-1.76204403049	3.06078080217	3.64374734334e-15	2.26229443702e-14	5207.585938	436236933.0	56959.039	436061640.0	56957.01	0.168253932352
156	300000.0	100.0	4.15208948338e-08	0.0	-2.85281573417	-1.0062427774	5.45492743692	9.72837063966e-15	3.35262336917e-14	5207.585938	436412226.0	56961.067	436236933.0	56959.039	0.546351220924
0	300000.0	100.0	7.47202819078e-13	0.0	-2.32315884097	-11.1905360204	0.000126151965961	1.01537883801e-18	1.25440249753e-16	5207.585938	436587519.0	56963.096	436412226.0	56961.067	-2.08938872674e-05
156	300000.0	100.0	1.55586270798e-07	8.41816248554e-08	-3.02036246776	-0.814528472455	21.7108889278	2.04913997509e-14	5.44808170084e-14	5207.585938	436762812.0	56965.125	436587519.0	56963.096	6.36607792117
